Element Name,keyfreemusic Melody
Technetium,"8 1 4 8'"
Promethium,"7 2 5 7'"
Polonium,"4 9 2 4'"
Astatine,"5 @ 3 5'"
Radon,"6 0' 4 6'"
Francium,"7 1' 5 7'"
Radium,"8 2' 6 8'"
Actinium,"8 3' 7 8'"
Thorium,"9 4' 8 9'"
Protactinium,"9 5' 9 9'"
Uranium,"@ 6' * @"
Neptunium,"@ 7' 0'' @"
Plutonium,"* 8' 1'' *"
Americium,"* 9' 2'' *"
Curium,"0' @' 3'' 0''"
Berkelium,"0' *' 4'' 0''"
Californium,"1' 0'' 5'' 1''"
Einsteinium,"1' 1'' 6'' 1''"
Fermium,"2' 2'' 7'' 2''"
Mendelevium,"2' 3'' 8'' 2''"
Nobelium,"3' 4'' 9'' 3''"
Lawrencium,"3' 5'' @'' 3''"
Rutherfordium,"4' 6'' *'' 4''"
Dubnium,"4' 7'' 0''' 4''"
Seaborgium,"5' 8'' 1''' 5''"
Bohrium,"5' 9'' 2''' 5''"
Hassium,"6' @'' 3''' 6''"
Meitnerium,"6' *'' 4''' 6''"
Darmstadtium,"7' 0''' 5''' 7''"
Roentgenium,"7' 1''' 6''' 7''"
Copernicium,"8' 2''' 7''' 8''"
Nihonium,"8' 3''' 8''' 8''"
Flerovium,"9' 4''' 9''' 9''"
Moscovium,"9' 5''' @''' 9''"
Livermorium,"@' 6''' *''' @''"
Tennessine,"@' 7''' 0'''' @''"
Oganesson,"*' 8''' 1'''' *''"

