Row Number,Item Code,Level 1 Code,Level 1 Name,Level 2 Code,Level 2 Name,Level 3 Code,Level 3 Name,Level 4 Code,Level 4 Name,Ability Type
1,1000,1000,Verbal Comprehension,,,,,,
2,1100,1000,Verbal Comprehension,1100,Vocabulary,,,,
3,1110,1000,Verbal Comprehension,1100,Vocabulary,1110,Word Recognition,,,Trainable Skill (Nurture)
4,1111,1000,Verbal Comprehension,1100,Vocabulary,1110,Word Recognition,1111,Phonological Decoding,Trainable Skill (Nurture)
5,1112,1000,Verbal Comprehension,1100,Vocabulary,1110,Word Recognition,1112,Orthographic Processing,Trainable Skill (Nurture)
6,1120,1000,Verbal Comprehension,1100,Vocabulary,1120,Semantic Retrieval,,,
7,1121,1000,Verbal Comprehension,1100,Vocabulary,1120,Semantic Retrieval,1121,Category Search (lexical),Trainable Skill (Nurture)
8,1122,1000,Verbal Comprehension,1100,Vocabulary,1120,Semantic Retrieval,1122,Attribute Association,Trainable Skill (Nurture)
9,1130,1000,Verbal Comprehension,1100,Vocabulary,1130,Lexical Access,,,Born Ability (Nature)
10,1131,1000,Verbal Comprehension,1100,Vocabulary,1130,Lexical Access,1131,Speed of Naming,Born Ability (Nature)
11,1132,1000,Verbal Comprehension,1100,Vocabulary,1130,Lexical Access,1132,Word-Form Encoding,
12,1140,1000,Verbal Comprehension,1100,Vocabulary,1140,Word Association,,,
13,1141,1000,Verbal Comprehension,1100,Vocabulary,1140,Word Association,1141,Free Association,
14,1142,1000,Verbal Comprehension,1100,Vocabulary,1140,Word Association,1142,Controlled Association,Trainable Skill (Nurture)
15,1150,1000,Verbal Comprehension,1100,Vocabulary,1150,Concept Labeling,,,Trainable Skill (Nurture)
16,1151,1000,Verbal Comprehension,1100,Vocabulary,1150,Concept Labeling,1151,Naming Objects/Ideas,Trainable Skill (Nurture)
17,1152,1000,Verbal Comprehension,1100,Vocabulary,1150,Concept Labeling,1152,Feature Identification,Trainable Skill (Nurture)
18,1200,1000,Verbal Comprehension,1200,Similarities,,,,
19,1210,1000,Verbal Comprehension,1200,Similarities,1210,Abstract Concept Formation,,,Born Ability (Nature)
20,1211,1000,Verbal Comprehension,1200,Similarities,1210,Abstract Concept Formation,1211,Rule Abstraction,Born Ability (Nature)
21,1212,1000,Verbal Comprehension,1200,Similarities,1210,Abstract Concept Formation,1212,Feature Generalization,
22,1220,1000,Verbal Comprehension,1200,Similarities,1220,Relationship Recognition,,,
23,1221,1000,Verbal Comprehension,1200,Similarities,1220,Relationship Recognition,1221,Identifying Analogies,Born Ability (Nature)
24,1222,1000,Verbal Comprehension,1200,Similarities,1220,Relationship Recognition,1222,Detecting Commonalities,
25,1230,1000,Verbal Comprehension,1200,Similarities,1230,Categorization,,,Trainable Skill (Nurture)
26,1231,1000,Verbal Comprehension,1200,Similarities,1230,Categorization,1231,Class Inclusion,Trainable Skill (Nurture)
27,1232,1000,Verbal Comprehension,1200,Similarities,1230,Categorization,1232,Exemplar Grouping,Trainable Skill (Nurture)
28,1240,1000,Verbal Comprehension,1200,Similarities,1240,Analogical Thinking (verbal),,,Born Ability (Nature)
29,1241,1000,Verbal Comprehension,1200,Similarities,1240,Analogical Thinking (verbal),1241,A:B as C:D Reasoning,Born Ability (Nature)
30,1242,1000,Verbal Comprehension,1200,Similarities,1240,Analogical Thinking (verbal),1242,Relation Mapping,
31,1250,1000,Verbal Comprehension,1200,Similarities,1250,Generalization,,,
32,1251,1000,Verbal Comprehension,1200,Similarities,1250,Generalization,1251,Inductive Inference (verbal),Born Ability (Nature)
33,1252,1000,Verbal Comprehension,1200,Similarities,1250,Generalization,1252,Principle Derivation,
34,1300,1000,Verbal Comprehension,1300,Information,,,,Trainable Skill (Nurture)
35,1310,1000,Verbal Comprehension,1300,Information,1310,Fact Retrieval (Long-Term Memory),,,Trainable Skill (Nurture)
36,1311,1000,Verbal Comprehension,1300,Information,1310,Fact Retrieval (Long-Term Memory),1311,Declarative Knowledge Access,Trainable Skill (Nurture)
37,1312,1000,Verbal Comprehension,1300,Information,1310,Fact Retrieval (Long-Term Memory),1312,Semantic Network Traversal,
38,1320,1000,Verbal Comprehension,1300,Information,1320,General Knowledge Acquisition,,,Trainable Skill (Nurture)
39,1321,1000,Verbal Comprehension,1300,Information,1320,General Knowledge Acquisition,1321,Learning from Text/Speech,Trainable Skill (Nurture)
40,1322,1000,Verbal Comprehension,1300,Information,1320,General Knowledge Acquisition,1322,Integrating New Information,Trainable Skill (Nurture)
41,1330,1000,Verbal Comprehension,1300,Information,1330,Cultural Knowledge,,,Trainable Skill (Nurture)
