Country,1950,1975,2000,2025,2050,2075
Japan,1.72,3.08,4.98,7.86,23.07,43.24
Sweden,2.88,6.69,7.94,25.8,72.89,105.28
Brazil,0.43,1.23,2.54,4.85,13.26,31.55
Canada,0.4,1.03,1.97,4.61,10.09,24.14
Germany,0.99,4.38,6.07,11.38,53.38,107.52
India,1.97,4.02,10.68,18.97,46.5,115.81
Nigeria,0.28,0.38,0.86,1.45,4.79,9.72
Australia,0.93,1.69,3.1,6.09,15.89,36.92
Mexico,0.25,0.56,1.3,2.69,7.45,19.87
South Korea,0.89,2.63,3.72,10.45,20.91,67.7
United Kingdom,1.63,3.53,10.83,20.65,62.26,126.99
France,0.27,0.53,1.49,2.67,6.81,11.52
Argentina,0.83,2.6,4.28,9.57,23.45,38.06
South Africa,2.73,5.08,9.85,17.29,52.12,99.07
Indonesia,0.11,0.27,0.74,1.26,4.14,10.02
Italy,0.75,2.17,2.85,5.19,17.38,32.12
Poland,3.66,6.85,13.26,25.77,55.45,160.26
Egypt,2.18,4.73,6.05,10.72,33.86,76.01
Vietnam,3.36,3.73,9.94,18.96,50.13,93.94
United States,1.56,2.14,4.36,9.51,23.79,63.98
